,Country/Region,Lat,Long,date,date_confirmed_cases
376,Colombia,4.5709,-74.2973,1/24/20,0.0
377,Comoros,-11.6455,43.3333,1/24/20,0.0
378,Congo (Brazzaville),-0.228,15.8277,1/24/20,0.0
379,Congo (Kinshasa),-4.0383,21.7587,1/24/20,0.0
380,Costa Rica,9.7489,-83.7534,1/24/20,0.0
381,Cote d'Ivoire,7.54,-5.5471,1/24/20,0.0
382,Croatia,45.1,15.2,1/24/20,0.0
383,Cuba,21.521757,-77.78116700000002,1/24/20,0.0
384,Cyprus,35.1264,33.4299,1/24/20,0.0
385,Czechia,49.8175,15.472999999999999,1/24/20,0.0
386,Denmark,63.287800000000004,-13.338100000000003,1/24/20,0.0
387,Diamond Princess,0.0,0.0,1/24/20,0.0
388,Djibouti,11.8251,42.5903,1/24/20,0.0
389,Dominican Republic,18.7357,-70.1627,1/24/20,0.0
390,Ecuador,-1.8312,-78.1834,1/24/20,0.0
391,Egypt,26.820553000000004,30.802497999999996,1/24/20,0.0
392,El Salvador,13.7942,-88.8965,1/24/20,0.0
393,Equatorial Guinea,1.6508,10.2679,1/24/20,0.0
394,Eritrea,15.1794,39.7823,1/24/20,0.0
395,Estonia,58.5953,25.0136,1/24/20,0.0
396,Eswatini,-26.5225,31.4659,1/24/20,0.0
397,Ethiopia,9.145,40.4897,1/24/20,0.0
398,Finland,61.92411,25.748151,1/24/20,0.0
399,France,8.308854090909092,5.458262363636362,1/24/20,0.18181818181818182
400,Gabon,-0.8037,11.6094,1/24/20,0.0
401,Georgia,42.3154,43.3569,1/24/20,0.0
402,Germany,51.165690999999995,10.451526,1/24/20,0.0
403,Ghana,7.9465,-1.0232,1/24/20,0.0
404,Greece,39.0742,21.8243,1/24/20,0.0
405,Guatemala,15.7835,-90.2308,1/24/20,0.0
406,Guinea,9.9456,-9.6966,1/24/20,0.0
407,Guinea-Bissau,11.8037,-15.1804,1/24/20,0.0
408,Guyana,4.860416000000002,-58.93018000000001,1/24/20,0.0
409,Haiti,18.9712,-72.2852,1/24/20,0.0
410,Honduras,15.2,-86.2419,1/24/20,0.0
411,Hungary,47.1625,19.5033,1/24/20,0.0
412,Iceland,64.9631,-19.0208,1/24/20,0.0
413,India,20.593684,78.96288,1/24/20,0.0
414,Indonesia,-0.7893,113.9213,1/24/20,0.0
415,Iran,32.427908,53.68804599999999,1/24/20,0.0
416,Iraq,33.223191,43.679291,1/24/20,0.0
417,Ireland,53.1424,-7.6921,1/24/20,0.0
418,Israel,31.046051000000002,34.851612,1/24/20,0.0
419,Italy,41.87194,12.56738,1/24/20,0.0
420,Jamaica,18.1096,-77.2975,1/24/20,0.0
421,Japan,36.204824,138.252924,1/24/20,2.0
422,Jordan,31.24,36.51,1/24/20,0.0
423,Kazakhstan,48.0196,66.9237,1/24/20,0.0
424,Kenya,-0.0236,37.9062,1/24/20,0.0
425,"Korea, South",35.90775700000001,127.766922,1/24/20,2.0
426,Kosovo,42.602636,20.902977,1/24/20,0.0
